id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
169193899,2451271435,1803563944,537.9699687727896,1,1,1,2,2,"LINESTRING(124.2253737 13.5769246, 124.2254678 13.5769958, 124.2255516 13.5770597, 124.2256536 13.5771399, 124.2257475 13.5772109, 124.2258420 13.5772826, 124.2259258 13.5773459, 124.2260143 13.5774137, 124.2260700 13.5774573, 124.2261099 13.5774858, 124.2261491 13.5775147, 124.2261880 13.5775447, 124.2262430 13.5775818, 124.2262900 13.5776152, 124.2263778 13.5776685, 124.2264609 13.5777154, 124.2265581 13.5777728, 124.2266091 13.5778034, 124.2266567 13.5778204, 124.2267275 13.5778443, 124.2267729 13.5778506, 124.2268239 13.5778487, 124.2268618 13.5778373, 124.2269029 13.5778055, 124.2269316 13.5777748, 124.2269592 13.5777324, 124.2271194 13.5774656, 124.2271348 13.5774456, 124.2271633 13.5774114, 124.2271972 13.5773863, 124.2272386 13.5773672, 124.2272845 13.5773534, 124.2273407 13.5773400, 124.2273868 13.5773344, 124.2274285 13.5773328, 124.2274639 13.5773348, 124.2274936 13.5773459, 124.2275195 13.5773665, 124.2275609 13.5774038, 124.2275875 13.5774413, 124.2276189 13.5774899, 124.2276549 13.5775552, 124.2276900 13.5776327, 124.2277088 13.5776881, 124.2277221 13.5777201, 124.2277497 13.5777709, 124.2277745 13.5778132, 124.2278094 13.5778745, 124.2278399 13.5779190, 124.2278825 13.5779768, 124.2279184 13.5780293, 124.2279817 13.5781131, 124.2280119 13.5781541, 124.2280496 13.5781943, 124.2280917 13.5782304, 124.2281314 13.5782597, 124.2282301 13.5783335, 124.2283874 13.5784598, 124.2284512 13.5784752, 124.2285390 13.5785131, 124.2286513 13.5786252, 124.2287378 13.5787222, 124.2288563 13.5789006, 124.2289215 13.5790205)"
169193900,1803565496,1803563897,87.03993704606192,1,1,1,2,2,"LINESTRING(124.2295919 13.5763883, 124.2299818 13.5770722)"
169193901,1803564209,1803564204,135.7340211163796,1,1,1,2,2,"LINESTRING(124.2071071 13.5924079, 124.2071074 13.5921174, 124.2071101 13.5917811, 124.2071146 13.5911886)"
169193901,1803564204,1803564199,111.94606178491428,1,1,1,2,2,"LINESTRING(124.2071146 13.5911886, 124.2071101 13.5906757, 124.2071251 13.5901832)"
169193901,1803564199,1803564195,175.38163721189113,1,1,1,2,2,"LINESTRING(124.2071251 13.5901832, 124.2071235 13.5899992, 124.2071249 13.5897984, 124.2071477 13.5893995, 124.2072050 13.5886103)"
169193901,1803564195,1803564183,147.10422505594727,1,1,1,2,2,"LINESTRING(124.2072050 13.5886103, 124.2072134 13.5883606, 124.2072187 13.5882276, 124.2072201 13.5881181, 124.2072782 13.5872910)"
169193901,1803564183,1803564171,82.76801316055958,1,1,1,2,2,"LINESTRING(124.2072782 13.5872910, 124.2072749 13.5869224, 124.2072050 13.5865537)"
169193901,1803564171,1803564157,88.98940342883672,1,1,1,2,2,"LINESTRING(124.2072050 13.5865537, 124.2071117 13.5861460, 124.2069892 13.5857833)"
169193901,1803564157,880044723,103.75310707336222,1,1,1,2,2,"LINESTRING(124.2069892 13.5857833, 124.2066863 13.5850938, 124.2065940 13.5849351)"
169193902,1803563972,2453982397,32.359879135368196,1,1,1,2,2,"LINESTRING(124.2247591 13.5788362, 124.2247289 13.5787623, 124.2247148 13.5787264, 124.2247027 13.5786945, 124.2246705 13.5786254, 124.2246436 13.5785682)"
169193902,2453982397,2453983533,28.255638512433503,1,1,1,2,2,"LINESTRING(124.2246436 13.5785682, 124.2246149 13.5785113, 124.2245921 13.5784644, 124.2245639 13.5784148, 124.2245451 13.5783796, 124.2245261 13.5783416)"
169193902,2453983533,3504634447,33.37061583260599,1,1,1,2,2,"LINESTRING(124.2245261 13.5783416, 124.2244855 13.5782701, 124.2244486 13.5782063, 124.2243730 13.5780814)"
169193902,3504634447,2451550441,153.81744744270156,1,1,1,2,2,"LINESTRING(124.2243730 13.5780814, 124.2243004 13.5779560, 124.2242333 13.5778347, 124.2242005 13.5777722, 124.2241669 13.5777070, 124.2240963 13.5775799, 124.2240630 13.5775290, 124.2240208 13.5774749, 124.2239544 13.5773967, 124.2239007 13.5773289, 124.2238297 13.5772487, 124.2237633 13.5771712, 124.2236855 13.5770884, 124.2235698 13.5769496)"
169193902,2451550441,1803563861,174.8234962925328,1,1,1,2,2,"LINESTRING(124.2235698 13.5769496, 124.2234897 13.5768420, 124.2233628 13.5766581, 124.2226182 13.5756807)"
169193902,1803563861,1803563802,477.74577169287295,1,1,1,2,2,"LINESTRING(124.2226182 13.5756807, 124.2219520 13.5746064, 124.2214036 13.5737029, 124.2204052 13.5719676)"
169193903,2450593739,1803563930,145.11583402867086,1,1,1,2,2,"LINESTRING(124.2123947 13.5789681, 124.2124995 13.5784452, 124.2125296 13.5781365, 124.2124417 13.5776837)"
169193903,1803563930,1803563885,139.05887902089077,1,1,1,2,2,"LINESTRING(124.2124417 13.5776837, 124.2123904 13.5774883, 124.2117476 13.5768290, 124.2116730 13.5767102)"
169193903,1803563885,3504634431,4.533953651196112,1,1,1,2,2,"LINESTRING(124.2116730 13.5767102, 124.2116450 13.5766799)"
169193903,3504634431,1803563867,150.34711494250865,1,1,1,2,2,"LINESTRING(124.2116450 13.5766799, 124.2114942 13.5765539, 124.2113279 13.5764470, 124.2110359 13.5762807, 124.2104715 13.5759619)"
169193903,1803563867,1803563830,348.09231869239727,1,1,1,2,2,"LINESTRING(124.2104715 13.5759619, 124.2093940 13.5753220, 124.2088326 13.5749670, 124.2077559 13.5742862)"
169193903,1803563830,1803563828,10.730142056266866,1,1,1,2,2,"LINESTRING(124.2077559 13.5742862, 124.2076739 13.5742320)"
169193903,1803563828,2913947874,144.307453888638,1,1,1,2,2,"LINESTRING(124.2076739 13.5742320, 124.2067265 13.5736543, 124.2065442 13.5735431)"
169193903,2913947874,1803563817,9.89190935331936,1,1,1,2,2,"LINESTRING(124.2065442 13.5735431, 124.2064687 13.5734930)"
169193903,1803563817,2913947880,218.0267140981881,1,1,1,2,2,"LINESTRING(124.2064687 13.5734930, 124.2057994 13.5730329, 124.2055016 13.5728281, 124.2051334 13.5726133, 124.2047606 13.5724700)"
169193904,880044721,1803564116,312.8084850848166,1,1,1,2,2,"LINESTRING(124.2050044 13.5861063, 124.2047042 13.5854836, 124.2046089 13.5852516, 124.2045043 13.5849718, 124.2043175 13.5842972, 124.2042421 13.5839803, 124.2042415 13.5838958, 124.2042394 13.5835800, 124.2041763 13.5834424)"
169193904,1803564116,1803564051,265.4084956220256,1,1,1,2,2,"LINESTRING(124.2041763 13.5834424, 124.2030516 13.5813236)"
169193904,1803564051,7028280877,4.984176068252929,1,1,1,2,2,"LINESTRING(124.2030516 13.5813236, 124.2030305 13.5812838)"
169193904,7028280877,1803564011,142.56133957146636,1,1,1,2,2,"LINESTRING(124.2030305 13.5812838, 124.2024274 13.5801452)"
169193904,1803564011,1803563921,328.6409208839966,1,1,1,2,2,"LINESTRING(124.2024274 13.5801452, 124.2018050 13.5788098, 124.2016872 13.5784937, 124.2015302 13.5782921, 124.2012717 13.5779500, 124.2009650 13.5775832)"
169193904,1803563921,1803563887,105.02645309715562,1,1,1,2,2,"LINESTRING(124.2009650 13.5775832, 124.2005341 13.5767378)"
169193905,880107317,5631707057,30.97336886668029,1,2,2,2,2,"LINESTRING(124.2277856 13.5820392, 124.2276392 13.5819729, 124.2275314 13.5819119)"
169193905,5631707057,1803564040,139.40720668615808,1,2,2,2,2,"LINESTRING(124.2275314 13.5819119, 124.2273358 13.5817914, 124.2272313 13.5817038, 124.2271502 13.5816260, 124.2270965 13.5815674, 124.2270449 13.5814969, 124.2269847 13.5814089, 124.2269275 13.5813053, 124.2268827 13.5812157, 124.2268324 13.5811146, 124.2267935 13.5810292, 124.2267529 13.5809497)"
169193906,1803563967,1803563975,164.15362188912786,1,1,1,2,2,"LINESTRING(124.2189394 13.5786472, 124.2174514 13.5789343)"
169193906,1803563975,1803563994,226.62559872638835,1,1,1,2,2,"LINESTRING(124.2174514 13.5789343, 124.2153957 13.5793237)"
169193906,1803563994,1803563966,113.4348252701583,1,1,1,2,2,"LINESTRING(124.2153957 13.5793237, 124.2152385 13.5793523, 124.2151527 13.5793554, 124.2150655 13.5793430, 124.2149743 13.5793111, 124.2149059 13.5792735, 124.2148322 13.5792068, 124.2146853 13.5789732, 124.2145959 13.5788483)"
169193906,1803563966,1803563947,136.85455039644864,1,1,1,2,2,"LINESTRING(124.2145959 13.5788483, 124.2143226 13.5785185, 124.2142372 13.5784571, 124.2138414 13.5782220, 124.2136069 13.5781151)"
169193906,1803563947,1803563930,134.91949653256432,1,1,1,2,2,"LINESTRING(124.2136069 13.5781151, 124.2124417 13.5776837)"
169193906,1803563930,1803563880,279.4128185059285,1,1,1,2,2,"LINESTRING(124.2124417 13.5776837, 124.2115843 13.5773315, 124.2101445 13.5765454)"
169193906,1803563880,7021044411,177.07090606294378,1,1,1,2,2,"LINESTRING(124.2101445 13.5765454, 124.2093752 13.5760833, 124.2087610 13.5756961)"
169193907,1803564053,1803564178,660.4720737194978,1,1,1,2,2,"LINESTRING(124.2021018 13.5814207, 124.2022251 13.5820729, 124.2023260 13.5823999, 124.2030550 13.5837025, 124.2030774 13.5838552, 124.2030269 13.5843184, 124.2030718 13.5849779, 124.2031222 13.5859644, 124.2032232 13.5865694, 124.2033732 13.5871144)"
169193908,1803564051,1803564039,96.67761516277085,1,1,1,2,2,"LINESTRING(124.2030516 13.5813236, 124.2038314 13.5808997)"
169193909,1803564124,2902179323,49.79673204248482,1,1,1,2,2,"LINESTRING(124.2077080 13.5837954, 124.2076747 13.5835908, 124.2076600 13.5834813, 124.2076363 13.5833536)"
169193909,2902179323,7030729240,52.67689513306392,1,1,1,2,2,"LINESTRING(124.2076363 13.5833536, 124.2076157 13.5832336, 124.2075969 13.5831137, 124.2075849 13.5830316, 124.2075741 13.5829429, 124.2075641 13.5828857)"
169193909,7030729240,1803564074,77.24692308997889,1,1,1,2,2,"LINESTRING(124.2075641 13.5828857, 124.2075486 13.5827643, 124.2075339 13.5826653, 124.2075232 13.5826105, 124.2075071 13.5825584, 124.2074318 13.5822045)"
169193910,1803563879,1803563887,77.44443419372051,1,1,1,2,2,"LINESTRING(124.2011847 13.5764479, 124.2005341 13.5767378)"
169193911,1803564186,6363911393,38.04658692994,1,1,1,2,2,"LINESTRING(124.2383612 13.5878294, 124.2385939 13.5876339, 124.2386280 13.5876068)"
169193911,6363911393,1803564177,90.6641519618175,1,1,1,2,2,"LINESTRING(124.2386280 13.5876068, 124.2388567 13.5873725, 124.2389667 13.5872643, 124.2390173 13.5872120, 124.2392059 13.5870171)"
169193912,1803564008,1803564029,155.89628305016777,1,1,1,2,2,"LINESTRING(124.2279793 13.5799927, 124.2278235 13.5800359, 124.2276357 13.5800828, 124.2272964 13.5801702, 124.2269504 13.5802595, 124.2267734 13.5803057, 124.2265876 13.5803548)"
169193913,1803563846,7086073182,272.7387335196194,1,1,1,2,2,"LINESTRING(124.2069610 13.5752574, 124.2048321 13.5739458)"
169193914,1803563998,1803563991,53.11025302443316,1,1,1,2,2,"LINESTRING(124.2300667 13.5795159, 124.2301771 13.5794649, 124.2302790 13.5794232, 124.2303850 13.5793789, 124.2305117 13.5793152)"
169193915,1803564220,1803564212,72.57821469505214,1,1,1,2,2,"LINESTRING(124.2101360 13.5932437, 124.2100220 13.5926012)"
169193916,1803564145,1803564109,282.98956764531374,1,2,2,2,2,"LINESTRING(124.2311674 13.5849765, 124.2319349 13.5841701, 124.2325267 13.5835448, 124.2329404 13.5831077)"
169193917,1803563823,1803563826,66.58595840172853,1,1,1,2,2,"LINESTRING(124.2233955 13.5738055, 124.2228833 13.5741370)"
169193917,1803563826,3504634407,58.38826864446884,1,1,1,2,2,"LINESTRING(124.2228833 13.5741370, 124.2224404 13.5744366)"
169193918,1803564005,1803564009,160.16888611094922,1,1,1,2,2,"LINESTRING(124.2279635 13.5798117, 124.2278449 13.5798280, 124.2277098 13.5798495, 124.2275774 13.5798684, 124.2274386 13.5798866, 124.2271980 13.5799175, 124.2270932 13.5799309, 124.2269859 13.5799440, 124.2268161 13.5799645, 124.2267412 13.5799746, 124.2266587 13.5799863, 124.2264971 13.5800072)"
169193919,1803563945,7029878049,96.79485621515103,1,1,1,2,2,"LINESTRING(124.2187864 13.5780881, 124.2179068 13.5782463)"
169193919,7029878049,1803563957,83.75482948028531,1,1,1,2,2,"LINESTRING(124.2179068 13.5782463, 124.2171457 13.5783832)"
169193919,1803563957,1803565497,92.81920483463414,1,1,1,2,2,"LINESTRING(124.2171457 13.5783832, 124.2162984 13.5785132)"
169193920,1803564213,1803564218,50.85356767461023,1,1,1,2,2,"LINESTRING(124.2098165 13.5927627, 124.2099053 13.5932113)"
169193921,1803564038,4575123507,181.5093205232675,1,1,1,2,2,"LINESTRING(124.2148998 13.5807648, 124.2134320 13.5799755)"
169193921,4575123507,2471696429,104.60078531669814,1,1,1,2,2,"LINESTRING(124.2134320 13.5799755, 124.2129195 13.5796833, 124.2126871 13.5794003)"
169193921,2471696429,2450593739,58.98824489784317,1,1,1,2,2,"LINESTRING(124.2126871 13.5794003, 124.2124195 13.5790934, 124.2123947 13.5789681)"
169193922,7086073181,1803563853,273.79915195082475,1,1,1,2,2,"LINESTRING(124.2046463 13.5742197, 124.2067605 13.5755710)"
169193923,1803563901,1803563921,81.14545564349736,1,1,1,2,2,"LINESTRING(124.2015517 13.5771292, 124.2009650 13.5775832)"
169193923,1803563921,1803563933,122.74237494915022,1,1,1,2,2,"LINESTRING(124.2009650 13.5775832, 124.2008043 13.5776458, 124.1998432 13.5776325)"
169193923,1803563933,1803563847,551.2531549823672,1,1,1,2,2,"LINESTRING(124.1998432 13.5776325, 124.1996526 13.5776471, 124.1995873 13.5776406, 124.1995341 13.5776276, 124.1994901 13.5776008, 124.1992873 13.5774485, 124.1991139 13.5773738, 124.1989466 13.5773181, 124.1988167 13.5772730, 124.1986840 13.5772283, 124.1985884 13.5772025, 124.1984733 13.5771831, 124.1983117 13.5771693, 124.1981743 13.5771543, 124.1980540 13.5771199, 124.1978968 13.5770494, 124.1975921 13.5769462, 124.1974020 13.5768948, 124.1972542 13.5768688, 124.1971391 13.5768567, 124.1969778 13.5768376, 124.1968542 13.5768103, 124.1966957 13.5767611, 124.1966125 13.5767117, 124.1965388 13.5766444, 124.1964692 13.5765575, 124.1964326 13.5764918, 124.1963953 13.5764137, 124.1963645 13.5763119, 124.1963383 13.5762251, 124.1963060 13.5761382, 124.1962689 13.5760517, 124.1962135 13.5759630, 124.1960718 13.5757294, 124.1959855 13.5756066, 124.1958961 13.5754998, 124.1957381 13.5753488)"
